@RELATION Kit99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
34.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
45.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
70.0,3.0,3.0,0.0,10.0,10.0,1.0,85.0,9.0,8.0,0.0
212.0,2.0,3.0,0.0,15.0,15.0,1.0,66.0,11.0,11.0,0.0
54.0,2.0,1.0,0.0,3.0,3.0,1.0,50.0,3.0,2.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
66.0,2.0,3.0,0.0,6.0,6.0,1.0,64.0,5.0,7.0,0.0
38.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
82.0,1.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
96.0,1.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
18.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
76.0,2.0,3.0,0.0,9.0,9.0,1.0,80.0,8.0,8.0,0.0
100.0,1.0,1.0,0.0,3.0,3.0,1.0,62.0,3.0,9.0,0.0
82.0,2.0,7.0,0.0,4.0,4.0,1.0,75.0,3.0,3.0,0.0
80.0,1.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
220.0,1.0,10.0,1.0,253.0,11.0,4.0,66.0,11.0,2.0,1.0
8.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0
100.0,2.0,11.0,1.0,8.0,8.0,2.0,58.0,8.0,3.0,1.0
25.0,2.0,3.0,0.0,6.0,6.0,1.0,0.0,6.0,0.0,0.0
435.0,2.0,20.0,0.0,27.0,27.0,1.0,79.0,19.0,11.0,1.0
9.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
273.0,1.0,12.0,0.0,14.0,14.0,1.0,78.0,14.0,2.0,0.0
185.0,1.0,7.0,0.0,10.0,10.0,2.0,0.0,10.0,0.0,1.0
6.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
6.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
